인허가관할기관,업소명,업종,업소주소
인천광역시 남동구,(직화)신갑,일반음식점,"인천광역시 남동구 예술로226번길 14(101호 구월동, 오피스텔보우재)"
인천광역시 부평구,(한결)통아구찜,일반음식점,인천광역시 부평구 마장로 257-1(산곡동)
인천광역시 미추홀구,(한결)통아구찜,일반음식점,"인천광역시 미추홀구 경원대로858번길 7(주안동,28)"
인천광역시 계양구,실내포차,일반음식점,인천광역시 계양구 안남로 465(1층 일부호 효성동)
인천광역시 부평구,317,일반음식점,인천광역시 부평구 안남로 70(2층 일부 부평동)
인천광역시 연수구,32,일반음식점,"인천광역시 연수구 청능대로78번길 39(동춘동, 지상1층)"
인천광역시 연수구,032(공삼이),일반음식점,"인천광역시 연수구 컨벤시아대로 126(송도동, 대우월드마크 8단지 141호)"
인천광역시 옹진군,0415포레,일반음식점,인천광역시 옹진군 북도면 장봉로605번길 150(1층)
인천광역시 서구,072매점,일반음식점,인천광역시 서구 드림로209번길 69(백석스포렉스 다동 1층 일부 백석동)
인천광역시 부평구,0815주당맥주,일반음식점,"인천광역시 부평구 세월천로 34(청천동,대우프라자 117-1호 1층)"
인천광역시 연수구,08공팔우주,일반음식점,인천광역시 연수구 청량로185번길 37(sm프라자 제1동 지상2층 204의 전체 및 205의 일부호 옥련동)
인천광역시 남동구,1%,일반음식점,인천광역시 남동구 구월로372번길 7(2층 만수동)
인천광역시 미추홀구,1.2.3 식당,일반음식점,"인천광역시 미추홀구 독배로 426(302호 용현동,3층)"
인천광역시 연수구,10.19 Gallery&Lounge(10.19 갤러리 앤 라운지),일반음식점,인천광역시 연수구 아트센터대로 107(커낼워크D3 AUTUMN 301동 122호 송도동)
인천광역시 강화군,100국수,일반음식점,인천광역시 강화군 선원면 중앙로 274-2(1층 101호)
인천광역시 미추홀구,100세왕족발,일반음식점,"인천광역시 미추홀구 경인로 27-1(1,2층 숭의동)"
인천광역시 부평구,101남산돈까스 롯데삼산점,일반음식점,인천광역시 부평구 길주로 623(롯데마트 삼산점 지하1층 B104호 일부호 삼산동)
인천광역시 연수구,101남산돈까스 스퀘어원점,일반음식점,인천광역시 연수구 청능대로 210(스퀘어원 3층 동춘동)
인천광역시 미추홀구,101번지 남산돈까스 앨리웨이인천점,일반음식점,"인천광역시 미추홀구 숙골로88번길 12(3층 07,08호 도화동, 더샵 인천스카이타워 1단지)"
인천광역시 중구,101번지 남산돈까스 인천운서점,일반음식점,인천광역시 중구 운서2로68번길 33(2층 202호 운서동)
인천광역시 연수구,101번지남산돈까스 현대송도점,일반음식점,인천광역시 연수구 송도국제대로 123(현대프리미엄 아울렛 송도점 지하1층 G2델리4호 송도동)
인천광역시 부평구,105스트리트,일반음식점,인천광역시 부평구 부평대로17번길 17(2층 부평동)
인천광역시 강화군,109 house,일반음식점,인천광역시 강화군 양도면 해안서로 540
인천광역시 강화군,10월에집,일반음식점,인천광역시 강화군 길상면 마니산로 193(1층)
인천광역시 부평구,110(일일공),일반음식점,인천광역시 부평구 백범로468번길 41-2(2층 십정동)
인천광역시 부평구,120겹파이-삼산점,일반음식점,인천광역시 부평구 장제로228번길 24(1층 일부 부개동)
인천광역시 부평구,123왕만두,일반음식점,인천광역시 부평구 주부토로 69(오델리아 1층 104호 부평동)
인천광역시 부평구,123한분식,일반음식점,인천광역시 부평구 경인로1058번길 11(부개동)
인천광역시 남동구,12Cm(센티미터)김밥,일반음식점,인천광역시 남동구 경인로 530(1층 간석동)
인천광역시 서구,12포차,일반음식점,"인천광역시 서구 새오개로 17-1(1층 석남동, 183-66번지)"
인천광역시 중구,153달집전통순두부,일반음식점,인천광역시 중구 운중로 116-17(중산동)
인천광역시 남동구,153치킨피자,일반음식점,인천광역시 남동구 구월로336번길 63-23(1층 만수동)
인천광역시 미추홀구,153포차,일반음식점,인천광역시 미추홀구 석정로 404(주안동)
인천광역시 미추홀구,153횟집,일반음식점,인천광역시 미추홀구 인하로 115-4(1층 101호 용현동)
인천광역시 옹진군,153횟집,일반음식점,인천광역시 옹진군 영흥면 영흥로 109-12(A동 15호 영흥수협직판장)
인천광역시 미추홀구,1592풍천민물장어,일반음식점,인천광역시 미추홀구 경인로 482(세일빌딩 2층 주안동)
인천광역시 부평구,15평,일반음식점,인천광역시 부평구 부평대로40번길 15-1(1층 부평동)
인천광역시 미추홀구,1943클래식 인하대역점,일반음식점,"인천광역시 미추홀구 용정공원로83번길 43(e편한세상 시티 인하대역 213,214호 용현동)"
인천광역시 동구,1958 뮤직,일반음식점,인천광역시 동구 금곡로11번길 1-2(1층 일부호 금곡동)
인천광역시 연수구,1970 냉삼브루스,일반음식점,인천광역시 연수구 용담로125번길 41(메카리움 106일부호 연수동)
인천광역시 중구,1970새마을포차 영종하늘도시점,일반음식점,"인천광역시 중구 하늘달빛로 90-7(스카이에비뉴 2층 201,202,203,204,205,206호 중산동)"
인천광역시 서구,1972퀸맥주,일반음식점,인천광역시 서구 청라루비로42번길 6-17(1층 일부호 청라동)
인천광역시 부평구,1973포차·산꼼장어,일반음식점,인천광역시 부평구 평천로 384(104호 삼산동)
인천광역시 부평구,1975갈비탕닭강정,일반음식점,"인천광역시 부평구 마장로72번길 35(십정동,1층)"
인천광역시 연수구,1977 참숯뒷고기,일반음식점,인천광역시 연수구 한나루로 190(송도프라자 지상1층 104일부호 옥련동)
인천광역시 계양구,1978초코오징어,일반음식점,인천광역시 계양구 효서로 233(1층 101호 작전동)
인천광역시 남동구,1980국밥집인천논현점,일반음식점,"인천광역시 남동구 앵고개로847번길 72(106호 논현동, 논현시티)"
인천광역시 미추홀구,1981 옛날통닭 & 강정,일반음식점,인천광역시 미추홀구 매소홀로 63(1층 108호 용현동)
인천광역시 부평구,1982 삼계정,일반음식점,인천광역시 부평구 안남로417번길 20(2층 청천동)
인천광역시 서구,1982 한인타운 냉면집 청라점,일반음식점,"인천광역시 서구 중봉대로586번길 22(A동 144호 일부호 청라동, 청라 엑슬루타워)"
인천광역시 서구,1984 그수육집칼국수 검단신도시점,일반음식점,"인천광역시 서구 이음5로 20(연세프라자8차 114,115호 원당동)"
인천광역시 남동구,1984펍(Pub),일반음식점,인천광역시 남동구 문화로89번길 20(2층 구월동)
인천광역시 서구,1984할범생맥주,일반음식점,인천광역시 서구 승학로512번길 2(검암동)
인천광역시 서구,1984홀덤펍,일반음식점,"인천광역시 서구 중봉대로612번길 10-8(반안프라자 203,203-1호일부 청라동)"
인천광역시 서구,1988지지미,일반음식점,인천광역시 서구 서곶로315번길 18(2동1층일부 심곡동)
인천광역시 미추홀구,1989 마라탕,일반음식점,인천광역시 미추홀구 한나루로 468(1층 주안동)
인천광역시 남동구,1989마라탕,일반음식점,인천광역시 남동구 구월남로 308(1층 일부호 구월동)
인천광역시 연수구,1989소고기,일반음식점,"인천광역시 연수구 송도문화로28번길 28(202동 1층 142호 송도동, 송도글로벌캠퍼스푸르지오)"
인천광역시 미추홀구,1990,일반음식점,인천광역시 미추홀구 노적산로 60(학익동)
인천광역시 서구,1990아구앤칼국수,일반음식점,인천광역시 서구 가정로 283(석남동)
인천광역시 서구,1990아구찜(인천원당점),일반음식점,인천광역시 서구 고산후로95번안길 21(당하동)
인천광역시 연수구,1990야끼니꾸 도쿄화로 인천연수점,일반음식점,인천광역시 연수구 샘말로38번길 19(지상1층 연수동)
인천광역시 부평구,1991키친(kitchen),일반음식점,"인천광역시 부평구 부흥로 397(부개동, 1층 일부)"
인천광역시 미추홀구,1992덮밥&짜글이 용현점,일반음식점,인천광역시 미추홀구 낙섬동로 99(1층 용현동)
인천광역시 서구,1992덮밥&짜글이 인천가좌점,일반음식점,인천광역시 서구 가석로156번길 12(1층 일부호 가좌동)
인천광역시 계양구,1997케이크앤커피(CAKE&COFFEE),일반음식점,인천광역시 계양구 계산새로65번길 9(두손파스텔 2층 203호 계산동)
인천광역시 중구,19금 분식,일반음식점,"인천광역시 중구 제물량로166번길 14(신포동, 1층)"
인천광역시 서구,1meter(1미터),일반음식점,인천광역시 서구 신석로 79(무한빌딩 1층 일부호 석남동)
인천광역시 계양구,1등왕만두,일반음식점,"인천광역시 계양구 계양대로 214(104호 계산동, 에이스타운)"
인천광역시 부평구,1미리(mm)삼겹,일반음식점,"인천광역시 부평구 청중로 76(나동 102호 일부호 청천동, 부원연립)"
인천광역시 강화군,1박2일 짬뽕,일반음식점,인천광역시 강화군 강화읍 북문길 12
인천광역시 서구,1번지 통닭,일반음식점,"인천광역시 서구 이음1로 154(715동 101호 당하동, 검단신도시 대성베르힐 라 프리미어)"
인천광역시 중구,1번지 통닭,일반음식점,인천광역시 중구 흰바위로 228(1층 106호 운남동)
인천광역시 중구,1번지통닭,일반음식점,"인천광역시 중구 운남로184번길 8(1층 101,102호 운남동)"
인천광역시 부평구,1번지통닭,일반음식점,"인천광역시 부평구 충선로 176-10(1층 일부, 민우빌딩 부개동)"
인천광역시 계양구,1번지통닭 계산점,일반음식점,"인천광역시 계양구 경명대로 1116(1층 116호 계산동, 하나상가)"
인천광역시 계양구,1번출구 생삼겹전문,일반음식점,"인천광역시 계양구 경명대로 1102-1(1,2층 계산동, 타이어테크)"
인천광역시 계양구,1인식당,일반음식점,인천광역시 계양구 계산로 75-1(1층 일부호 계산동)
인천광역시 부평구,1키로 탕수육,일반음식점,인천광역시 부평구 신트리로22번길 6(1층 부평동)
